scenario_id,scenario_name_en,scenario_name_zh_hant,target_id,target_en,target_zh_hant,participation_mode_id,participation_mode_name_en,participation_mode_name_zh_hant,prompt_en,prompt_zh_hant,stationary_required,photo_task_allowed,driver_interaction_allowed,adult_supervision_required,skip_allowed,safety_boundary_en,safety_boundary_zh_hant,official_reference_ids
pre-trip,Before leaving,出發前,target-07,one way the group can help each other,一種同行成員可互相幫忙的方法,watch,Watch or point,看一看／指出來,"From your current spot, notice one way the group can help each other. Point only when the setting permits and your supervising adult has said it is safe; never ask a driver to look.",從目前位置觀察「一種同行成員可互相幫忙的方法」。只有在情境允許且陪同大人已確認安全時，才從原地指出來；絕不要求駕駛查看。,true,false,false,true,true,"Use these cards at home. Adults keep control of travel documents, medicine, keys and final packing decisions.",請在家使用這組卡片。旅行文件、藥物、鑰匙與最後打包決定，全都由大人保管與確認。,faa-child-safety-seat-tips|nhtsa-car-seats|dot-family-air-travel|ftc-children-privacy
pre-trip,Before leaving,出發前,target-07,one way the group can help each other,一種同行成員可互相幫忙的方法,describe,Notice or describe,觀察／描述,"Notice one way the group can help each other. Think of one colour, shape, sound or detail. Share only with a non-driving companion when the setting permits.",觀察「一種同行成員可互相幫忙的方法」，想一個顏色、形狀、聲音或細節；只有在情境允許且有非駕駛同行者時才分享。,true,false,false,true,true,"Use these cards at home. Adults keep control of travel documents, medicine, keys and final packing decisions.",請在家使用這組卡片。旅行文件、藥物、鑰匙與最後打包決定，全都由大人保管與確認。,faa-child-safety-seat-tips|nhtsa-car-seats|dot-family-air-travel|ftc-children-privacy
pre-trip,Before leaving,出發前,target-07,one way the group can help each other,一種同行成員可互相幫忙的方法,create,Plan or create,規劃／創作,"Use one way the group can help each other as a prompt. Invent one kind question, route idea or tiny story alone or with a non-driving companion when permitted.",以「一種同行成員可互相幫忙的方法」為提示，自己想一個友善問題、小路線或迷你故事；情境允許時也可和非駕駛同行者一起想。,true,false,false,true,true,"Use these cards at home. Adults keep control of travel documents, medicine, keys and final packing decisions.",請在家使用這組卡片。旅行文件、藥物、鑰匙與最後打包決定，全都由大人保管與確認。,faa-child-safety-seat-tips|nhtsa-car-seats|dot-family-air-travel|ftc-children-privacy
airport,Airport,機場,target-01,two different signs visible from your current waiting spot,從目前等待位置看得到的兩種標誌,watch,Watch or point,看一看／指出來,"From your current spot, notice two different signs visible from your current waiting spot. Point only when the setting permits and your supervising adult has said it is safe; never ask a driver to look.",從目前位置觀察「從目前等待位置看得到的兩種標誌」。只有在情境允許且陪同大人已確認安全時，才從原地指出來；絕不要求駕駛查看。,true,false,false,true,true,"Stay beside the supervising adult, keep paths and checkpoints clear, and follow airport and security staff. These cards never ask for photos.",留在陪同大人身旁，不阻擋走道或安檢區，並遵守機場與安檢人員指示。這組卡片完全沒有拍照任務。,tsa-checkpoint-photography|dot-family-air-travel
airport,Airport,機場,target-01,two different signs visible from your current waiting spot,從目前等待位置看得到的兩種標誌,describe,Notice or describe,觀察／描述,"Notice two different signs visible from your current waiting spot. Think of one colour, shape, sound or detail. Share only with a non-driving companion when the setting permits.",觀察「從目前等待位置看得到的兩種標誌」，想一個顏色、形狀、聲音或細節；只有在情境允許且有非駕駛同行者時才分享。,true,false,false,true,true,"Stay beside the supervising adult, keep paths and checkpoints clear, and follow airport and security staff. These cards never ask for photos.",留在陪同大人身旁，不阻擋走道或安檢區，並遵守機場與安檢人員指示。這組卡片完全沒有拍照任務。,tsa-checkpoint-photography|dot-family-air-travel
airport,Airport,機場,target-01,two different signs visible from your current waiting spot,從目前等待位置看得到的兩種標誌,create,Plan or create,規劃／創作,"Use two different signs visible from your current waiting spot as a prompt. Invent one kind question, route idea or tiny story alone or with a non-driving companion when permitted.",以「從目前等待位置看得到的兩種標誌」為提示，自己想一個友善問題、小路線或迷你故事；情境允許時也可和非駕駛同行者一起想。,true,false,false,true,true,"Stay beside the supervising adult, keep paths and checkpoints clear, and follow airport and security staff. These cards never ask for photos.",留在陪同大人身旁，不阻擋走道或安檢區，並遵守機場與安檢人員指示。這組卡片完全沒有拍照任務。,tsa-checkpoint-photography|dot-family-air-travel
airport,Airport,機場,target-02,a vehicle seen through a window,一台從窗戶看得到的車輛,watch,Watch or point,看一看／指出來,"From your current spot, notice a vehicle seen through a window. Point only when the setting permits and your supervising adult has said it is safe; never ask a driver to look.",從目前位置觀察「一台從窗戶看得到的車輛」。只有在情境允許且陪同大人已確認安全時，才從原地指出來；絕不要求駕駛查看。,true,false,false,true,true,"Stay beside the supervising adult, keep paths and checkpoints clear, and follow airport and security staff. These cards never ask for photos.",留在陪同大人身旁，不阻擋走道或安檢區，並遵守機場與安檢人員指示。這組卡片完全沒有拍照任務。,tsa-checkpoint-photography|dot-family-air-travel
airport,Airport,機場,target-02,a vehicle seen through a window,一台從窗戶看得到的車輛,describe,Notice or describe,觀察／描述,"Notice a vehicle seen through a window. Think of one colour, shape, sound or detail. Share only with a non-driving companion when the setting permits.",觀察「一台從窗戶看得到的車輛」，想一個顏色、形狀、聲音或細節；只有在情境允許且有非駕駛同行者時才分享。,true,false,false,true,true,"Stay beside the supervising adult, keep paths and checkpoints clear, and follow airport and security staff. These cards never ask for photos.",留在陪同大人身旁，不阻擋走道或安檢區，並遵守機場與安檢人員指示。這組卡片完全沒有拍照任務。,tsa-checkpoint-photography|dot-family-air-travel
airport,Airport,機場,target-02,a vehicle seen through a window,一台從窗戶看得到的車輛,create,Plan or create,規劃／創作,"Use a vehicle seen through a window as a prompt. Invent one kind question, route idea or tiny story alone or with a non-driving companion when permitted.",以「一台從窗戶看得到的車輛」為提示，自己想一個友善問題、小路線或迷你故事；情境允許時也可和非駕駛同行者一起想。,true,false,false,true,true,"Stay beside the supervising adult, keep paths and checkpoints clear, and follow airport and security staff. These cards never ask for photos.",留在陪同大人身旁，不阻擋走道或安檢區，並遵守機場與安檢人員指示。這組卡片完全沒有拍照任務。,tsa-checkpoint-photography|dot-family-air-travel
airport,Airport,機場,target-03,one repeating shape in the building,建築裡一種重複出現的形狀,watch,Watch or point,看一看／指出來,"From your current spot, notice one repeating shape in the building. Point only when the setting permits and your supervising adult has said it is safe; never ask a driver to look.",從目前位置觀察「建築裡一種重複出現的形狀」。只有在情境允許且陪同大人已確認安全時，才從原地指出來；絕不要求駕駛查看。,true,false,false,true,true,"Stay beside the supervising adult, keep paths and checkpoints clear, and follow airport and security staff. These cards never ask for photos.",留在陪同大人身旁，不阻擋走道或安檢區，並遵守機場與安檢人員指示。這組卡片完全沒有拍照任務。,tsa-checkpoint-photography|dot-family-air-travel
airport,Airport,機場,target-03,one repeating shape in the building,建築裡一種重複出現的形狀,describe,Notice or describe,觀察／描述,"Notice one repeating shape in the building. Think of one colour, shape, sound or detail. Share only with a non-driving companion when the setting permits.",觀察「建築裡一種重複出現的形狀」，想一個顏色、形狀、聲音或細節；只有在情境允許且有非駕駛同行者時才分享。,true,false,false,true,true,"Stay beside the supervising adult, keep paths and checkpoints clear, and follow airport and security staff. These cards never ask for photos.",留在陪同大人身旁，不阻擋走道或安檢區，並遵守機場與安檢人員指示。這組卡片完全沒有拍照任務。,tsa-checkpoint-photography|dot-family-air-travel
airport,Airport,機場,target-03,one repeating shape in the building,建築裡一種重複出現的形狀,create,Plan or create,規劃／創作,"Use one repeating shape in the building as a prompt. Invent one kind question, route idea or tiny story alone or with a non-driving companion when permitted.",以「建築裡一種重複出現的形狀」為提示，自己想一個友善問題、小路線或迷你故事；情境允許時也可和非駕駛同行者一起想。,true,false,false,true,true,"Stay beside the supervising adult, keep paths and checkpoints clear, and follow airport and security staff. These cards never ask for photos.",留在陪同大人身旁，不阻擋走道或安檢區，並遵守機場與安檢人員指示。這組卡片完全沒有拍照任務。,tsa-checkpoint-photography|dot-family-air-travel
airport,Airport,機場,target-04,one colour worn by staff,工作人員身上的一種顏色,watch,Watch or point,看一看／指出來,"From your current spot, notice one colour worn by staff. Point only when the setting permits and your supervising adult has said it is safe; never ask a driver to look.",從目前位置觀察「工作人員身上的一種顏色」。只有在情境允許且陪同大人已確認安全時，才從原地指出來；絕不要求駕駛查看。,true,false,false,true,true,"Stay beside the supervising adult, keep paths and checkpoints clear, and follow airport and security staff. These cards never ask for photos.",留在陪同大人身旁，不阻擋走道或安檢區，並遵守機場與安檢人員指示。這組卡片完全沒有拍照任務。,tsa-checkpoint-photography|dot-family-air-travel
airport,Airport,機場,target-04,one colour worn by staff,工作人員身上的一種顏色,describe,Notice or describe,觀察／描述,"Notice one colour worn by staff. Think of one colour, shape, sound or detail. Share only with a non-driving companion when the setting permits.",觀察「工作人員身上的一種顏色」，想一個顏色、形狀、聲音或細節；只有在情境允許且有非駕駛同行者時才分享。,true,false,false,true,true,"Stay beside the supervising adult, keep paths and checkpoints clear, and follow airport and security staff. These cards never ask for photos.",留在陪同大人身旁，不阻擋走道或安檢區，並遵守機場與安檢人員指示。這組卡片完全沒有拍照任務。,tsa-checkpoint-photography|dot-family-air-travel
airport,Airport,機場,target-04,one colour worn by staff,工作人員身上的一種顏色,create,Plan or create,規劃／創作,"Use one colour worn by staff as a prompt. Invent one kind question, route idea or tiny story alone or with a non-driving companion when permitted.",以「工作人員身上的一種顏色」為提示，自己想一個友善問題、小路線或迷你故事；情境允許時也可和非駕駛同行者一起想。,true,false,false,true,true,"Stay beside the supervising adult, keep paths and checkpoints clear, and follow airport and security staff. These cards never ask for photos.",留在陪同大人身旁，不阻擋走道或安檢區，並遵守機場與安檢人員指示。這組卡片完全沒有拍照任務。,tsa-checkpoint-photography|dot-family-air-travel
airport,Airport,機場,target-05,an object with wheels,一件有輪子的物品,watch,Watch or point,看一看／指出來,"From your current spot, notice an object with wheels. Point only when the setting permits and your supervising adult has said it is safe; never ask a driver to look.",從目前位置觀察「一件有輪子的物品」。只有在情境允許且陪同大人已確認安全時，才從原地指出來；絕不要求駕駛查看。,true,false,false,true,true,"Stay beside the supervising adult, keep paths and checkpoints clear, and follow airport and security staff. These cards never ask for photos.",留在陪同大人身旁，不阻擋走道或安檢區，並遵守機場與安檢人員指示。這組卡片完全沒有拍照任務。,tsa-checkpoint-photography|dot-family-air-travel
airport,Airport,機場,target-05,an object with wheels,一件有輪子的物品,describe,Notice or describe,觀察／描述,"Notice an object with wheels. Think of one colour, shape, sound or detail. Share only with a non-driving companion when the setting permits.",觀察「一件有輪子的物品」，想一個顏色、形狀、聲音或細節；只有在情境允許且有非駕駛同行者時才分享。,true,false,false,true,true,"Stay beside the supervising adult, keep paths and checkpoints clear, and follow airport and security staff. These cards never ask for photos.",留在陪同大人身旁，不阻擋走道或安檢區，並遵守機場與安檢人員指示。這組卡片完全沒有拍照任務。,tsa-checkpoint-photography|dot-family-air-travel
airport,Airport,機場,target-05,an object with wheels,一件有輪子的物品,create,Plan or create,規劃／創作,"Use an object with wheels as a prompt. Invent one kind question, route idea or tiny story alone or with a non-driving companion when permitted.",以「一件有輪子的物品」為提示，自己想一個友善問題、小路線或迷你故事；情境允許時也可和非駕駛同行者一起想。,true,false,false,true,true,"Stay beside the supervising adult, keep paths and checkpoints clear, and follow airport and security staff. These cards never ask for photos.",留在陪同大人身旁，不阻擋走道或安檢區，並遵守機場與安檢人員指示。這組卡片完全沒有拍照任務。,tsa-checkpoint-photography|dot-family-air-travel
airport,Airport,機場,target-06,one quiet sound and one louder sound,一個安靜聲音與一個較大的聲音,watch,Watch or point,看一看／指出來,"From your current spot, notice one quiet sound and one louder sound. Point only when the setting permits and your supervising adult has said it is safe; never ask a driver to look.",從目前位置觀察「一個安靜聲音與一個較大的聲音」。只有在情境允許且陪同大人已確認安全時，才從原地指出來；絕不要求駕駛查看。,true,false,false,true,true,"Stay beside the supervising adult, keep paths and checkpoints clear, and follow airport and security staff. These cards never ask for photos.",留在陪同大人身旁，不阻擋走道或安檢區，並遵守機場與安檢人員指示。這組卡片完全沒有拍照任務。,tsa-checkpoint-photography|dot-family-air-travel
airport,Airport,機場,target-06,one quiet sound and one louder sound,一個安靜聲音與一個較大的聲音,describe,Notice or describe,觀察／描述,"Notice one quiet sound and one louder sound. Think of one colour, shape, sound or detail. Share only with a non-driving companion when the setting permits.",觀察「一個安靜聲音與一個較大的聲音」，想一個顏色、形狀、聲音或細節；只有在情境允許且有非駕駛同行者時才分享。,true,false,false,true,true,"Stay beside the supervising adult, keep paths and checkpoints clear, and follow airport and security staff. These cards never ask for photos.",留在陪同大人身旁，不阻擋走道或安檢區，並遵守機場與安檢人員指示。這組卡片完全沒有拍照任務。,tsa-checkpoint-photography|dot-family-air-travel
airport,Airport,機場,target-06,one quiet sound and one louder sound,一個安靜聲音與一個較大的聲音,create,Plan or create,規劃／創作,"Use one quiet sound and one louder sound as a prompt. Invent one kind question, route idea or tiny story alone or with a non-driving companion when permitted.",以「一個安靜聲音與一個較大的聲音」為提示，自己想一個友善問題、小路線或迷你故事；情境允許時也可和非駕駛同行者一起想。,true,false,false,true,true,"Stay beside the supervising adult, keep paths and checkpoints clear, and follow airport and security staff. These cards never ask for photos.",留在陪同大人身旁，不阻擋走道或安檢區，並遵守機場與安檢人員指示。這組卡片完全沒有拍照任務。,tsa-checkpoint-photography|dot-family-air-travel
airport,Airport,機場,target-07,one symbol that helps people find a place,一個協助旅客找到地點的符號,watch,Watch or point,看一看／指出來,"From your current spot, notice one symbol that helps people find a place. Point only when the setting permits and your supervising adult has said it is safe; never ask a driver to look.",從目前位置觀察「一個協助旅客找到地點的符號」。只有在情境允許且陪同大人已確認安全時，才從原地指出來；絕不要求駕駛查看。,true,false,false,true,true,"Stay beside the supervising adult, keep paths and checkpoints clear, and follow airport and security staff. These cards never ask for photos.",留在陪同大人身旁，不阻擋走道或安檢區，並遵守機場與安檢人員指示。這組卡片完全沒有拍照任務。,tsa-checkpoint-photography|dot-family-air-travel
airport,Airport,機場,target-07,one symbol that helps people find a place,一個協助旅客找到地點的符號,describe,Notice or describe,觀察／描述,"Notice one symbol that helps people find a place. Think of one colour, shape, sound or detail. Share only with a non-driving companion when the setting permits.",觀察「一個協助旅客找到地點的符號」，想一個顏色、形狀、聲音或細節；只有在情境允許且有非駕駛同行者時才分享。,true,false,false,true,true,"Stay beside the supervising adult, keep paths and checkpoints clear, and follow airport and security staff. These cards never ask for photos.",留在陪同大人身旁，不阻擋走道或安檢區，並遵守機場與安檢人員指示。這組卡片完全沒有拍照任務。,tsa-checkpoint-photography|dot-family-air-travel
airport,Airport,機場,target-07,one symbol that helps people find a place,一個協助旅客找到地點的符號,create,Plan or create,規劃／創作,"Use one symbol that helps people find a place as a prompt. Invent one kind question, route idea or tiny story alone or with a non-driving companion when permitted.",以「一個協助旅客找到地點的符號」為提示，自己想一個友善問題、小路線或迷你故事；情境允許時也可和非駕駛同行者一起想。,true,false,false,true,true,"Stay beside the supervising adult, keep paths and checkpoints clear, and follow airport and security staff. These cards never ask for photos.",留在陪同大人身旁，不阻擋走道或安檢區，並遵守機場與安檢人員指示。這組卡片完全沒有拍照任務。,tsa-checkpoint-photography|dot-family-air-travel
flight,Flight,飛行途中,target-01,"one shape outside the window, if your seat has a view",座位看得到窗外時，窗外的一種形狀,watch,Watch or point,看一看／指出來,"From your current spot, notice one shape outside the window, if your seat has a view. Point only when the setting permits and your supervising adult has said it is safe; never ask a driver to look.",從目前位置觀察「座位看得到窗外時，窗外的一種形狀」。只有在情境允許且陪同大人已確認安全時，才從原地指出來；絕不要求駕駛查看。,true,false,false,true,true,"Use only while seated and when the crew permits it. Stop for safety briefings, instructions, turbulence or whenever the adult says to pause.",只有在坐好且機組人員允許時才使用。安全說明、任何指示、亂流，或大人要求暫停時，立即停止活動。,faa-child-safety-seat-tips|dot-family-air-travel
